LOAD_AREA,tech1,tech2,tech3,site_count,potential_MW
MT_SE,biomass_gas,,,0.0,0.0
CA_PGE_N,bio_smr,bio_smr_ccs,bio_atr_ccs,567.0,118325.0
CA_PGE_N,coal_gas,coal_gas_ccs,,398.0,113512.0
CA_PGE_N,gas_smr,gas_smr_ccs,gas_atr_ccs,1937.0,404227.0
CA_PGE_N,biomass_gas,,,392.0,26177.0
CA_SCE_SE,bio_smr,bio_smr_ccs,bio_atr_ccs,330.0,68866.0
CA_SCE_SE,coal_gas,coal_gas_ccs,,75.0,21390.0
CA_SCE_SE,gas_smr,gas_smr_ccs,gas_atr_ccs,1229.0,256476.0
CA_SCE_SE,biomass_gas,,,0.0,0.0
CA_SCE_VLY,bio_smr,bio_smr_ccs,bio_atr_ccs,50.0,10434.0
CA_SCE_VLY,coal_gas,coal_gas_ccs,,1.0,285.0
CA_SCE_VLY,gas_smr,gas_smr_ccs,gas_atr_ccs,224.0,46746.0
CA_SCE_VLY,biomass_gas,,,7.0,467.0
CA_SCE_CEN,bio_smr,bio_smr_ccs,bio_atr_ccs,1797.0,375011.0
CA_SCE_CEN,coal_gas,coal_gas_ccs,,869.0,247844.0
CA_SCE_CEN,gas_smr,gas_smr_ccs,gas_atr_ccs,3047.0,635870.0
CA_SCE_CEN,biomass_gas,,,0.0,0.0
AZ_APS_SW,bio_smr,bio_smr_ccs,bio_atr_ccs,1055.0,220165.0
AZ_APS_SW,coal_gas,coal_gas_ccs,,1107.0,315723.0
AZ_APS_SW,gas_smr,gas_smr_ccs,gas_atr_ccs,7155.0,1493159.0
AZ_APS_SW,biomass_gas,,,0.0,0.0
NM_S_TX_EPE,bio_smr,bio_smr_ccs,bio_atr_ccs,1378.0,287571.0
NM_S_TX_EPE,coal_gas,coal_gas_ccs,,2622.0,747810.0
NM_S_TX_EPE,gas_smr,gas_smr_ccs,gas_atr_ccs,28702.0,5989748.0
NM_S_TX_EPE,biomass_gas,,,0.0,0.0
CO_E,bio_smr,bio_smr_ccs,bio_atr_ccs,2560.0,534240.0
CO_E,coal_gas,coal_gas_ccs,,3328.0,949166.0
CO_E,gas_smr,gas_smr_ccs,gas_atr_ccs,30160.0,6294015.0
CO_E,biomass_gas,,,0.0,0.0
CO_SW,bio_smr,bio_smr_ccs,bio_atr_ccs,420.0,87648.0
CO_SW,coal_gas,coal_gas_ccs,,139.0,39643.0
CO_SW,gas_smr,gas_smr_ccs,gas_atr_ccs,1033.0,215574.0
CO_SW,biomass_gas,,,0.0,0.0
AZ_APS_N,bio_smr,bio_smr_ccs,bio_atr_ccs,234.0,48832.0
AZ_APS_N,coal_gas,coal_gas_ccs,,1021.0,291195.0
AZ_APS_N,gas_smr,gas_smr_ccs,gas_atr_ccs,13588.0,2835645.0
AZ_APS_N,biomass_gas,,,0.0,0.0
AZ_APS_E,bio_smr,bio_smr_ccs,bio_atr_ccs,305.0,63649.0
AZ_APS_E,coal_gas,coal_gas_ccs,,657.0,187380.0
AZ_APS_E,gas_smr,gas_smr_ccs,gas_atr_ccs,1066.0,222460.0
AZ_APS_E,biomass_gas,,,570.0,38064.0
WY_SE,bio_smr,bio_smr_ccs,bio_atr_ccs,5331.0,1112513.0
WY_SE,coal_gas,coal_gas_ccs,,3822.0,1090058.0
WY_SE,gas_smr,gas_smr_ccs,gas_atr_ccs,29119.0,6076771.0
WY_SE,biomass_gas,,,0.0,0.0
CO_DEN,bio_smr,bio_smr_ccs,bio_atr_ccs,816.0,170289.0
CO_DEN,coal_gas,coal_gas_ccs,,378.0,107807.0
CO_DEN,gas_smr,gas_smr_ccs,gas_atr_ccs,5116.0,1067645.0
CO_DEN,biomass_gas,,,0.0,0.0
WA_ID_AVA,bio_smr,bio_smr_ccs,bio_atr_ccs,41.0,8556.0
WA_ID_AVA,coal_gas,coal_gas_ccs,,101.0,28805.0
WA_ID_AVA,gas_smr,gas_smr_ccs,gas_atr_ccs,192.0,40068.0
WA_ID_AVA,biomass_gas,,,11.0,734.0
WA_N_CEN,bio_smr,bio_smr_ccs,bio_atr_ccs,235.0,49041.0
WA_N_CEN,coal_gas,coal_gas_ccs,,502.0,143173.0
WA_N_CEN,gas_smr,gas_smr_ccs,gas_atr_ccs,587.0,122499.0
WA_N_CEN,biomass_gas,,,0.0,0.0
