load_zone,tech,connection_dist
OR_E,gas_smr,3134.6176571006795
OR_E,gas_smr_ccs,3134.6176571006795
OR_PDX,bio_atr_ccs,9235.222389727911
OR_PDX,bio_smr,9235.222389727911
OR_PDX,bio_smr_ccs,9235.222389727911
OR_PDX,biomass_gas,
OR_PDX,coal_gas,
OR_PDX,coal_gas_ccs,
OR_PDX,gas_atr_ccs,8509.032836666132
OR_PDX,gas_smr,8509.032836666132
OR_PDX,gas_smr_ccs,8509.032836666132
OR_W,bio_atr_ccs,1349.79966787638
OR_W,bio_smr,1372.5824869738449
OR_W,bio_smr_ccs,1349.79966787638
OR_W,biomass_gas,734.5171031356299
OR_W,coal_gas,1800.1386882773847
OR_W,coal_gas_ccs,1971.3184396016582
OR_W,gas_atr_ccs,1355.2807460483762
OR_W,gas_smr,1355.2807460483762
OR_W,gas_smr_ccs,1355.2807460483762
OR_WA_BPA,bio_atr_ccs,945.3796046166358
OR_WA_BPA,bio_smr,945.3796046166358
OR_WA_BPA,bio_smr_ccs,945.3796046166358
OR_WA_BPA,biomass_gas,
OR_WA_BPA,coal_gas,1419.5272974395193
OR_WA_BPA,coal_gas_ccs,1419.5272974395193
OR_WA_BPA,gas_atr_ccs,2345.5790235057293
OR_WA_BPA,gas_smr,2345.5790235057293
OR_WA_BPA,gas_smr_ccs,2345.5790235057293
UT_N,bio_atr_ccs,2389.1158989751148
UT_N,bio_smr,2452.8348372038467
UT_N,bio_smr_ccs,2389.1158989751148
UT_N,biomass_gas,
UT_N,coal_gas,3089.969439029777
UT_N,coal_gas_ccs,3368.674655201884
UT_N,gas_atr_ccs,3620.963035807976
UT_N,gas_smr,3620.963035807976
UT_N,gas_smr_ccs,3620.963035807976
UT_S,bio_atr_ccs,1821.4740908874517
UT_S,bio_smr,1889.7366391193668
UT_S,bio_smr_ccs,1821.4740908874517
UT_S,biomass_gas,5947.3439952227245
UT_S,coal_gas,2356.35916742118
UT_S,coal_gas_ccs,2340.2756089852123
UT_S,gas_atr_ccs,2903.1002712691393
UT_S,gas_smr,2903.1002712691393
UT_S,gas_smr_ccs,2903.1002712691393
WA_ID_AVA,bio_atr_ccs,1542.0257985571884
WA_ID_AVA,bio_smr,1645.2467630434307
WA_ID_AVA,bio_smr_ccs,1542.0257985571884
WA_ID_AVA,biomass_gas,3131.114603022077
WA_ID_AVA,coal_gas,4415.267316835893
WA_ID_AVA,coal_gas_ccs,4415.267316835893
WA_ID_AVA,gas_atr_ccs,7195.829103255864
WA_ID_AVA,gas_smr,7195.829103255864
